token,id,G1,G2,G3,G4
sidelight,1,0.0018081034067647384,0.10665898642688433,0.2001461361913018,0.6913867739750491
relativity,2,1.3945519454389983e-07,0.0003047970650271325,0.9986205854128795,0.0010744780668988495
ether,3,4.456966963483801e-06,0.0008559043360198018,0.9957259421929783,0.0034136965040384186
theory,4,1.2511426049087522e-06,0.001025437972908831,0.9966086149418121,0.0023646959426742516
relativity,5,2.6723494596646e-07,0.0006205084806368446,0.9967932976598647,0.002585926624552398
address,6,0.0009092015113759165,0.22898566440573545,0.03201768922455441,0.7380874448583341
lecture,7,6.605508082072415e-05,0.04701042298996845,0.0948758960179138,0.858047625911297
inaugural,8,2.527416035291714e-07,0.029333130548114348,0.0009461614155781192,0.9697204552947041
stated,9,3.2206860533323306e-05,0.29585471467809416,0.0011029227775432077,0.7030101556838293
delivered,10,6.832105149609496e-06,0.07672211787986512,0.0005135321327859864,0.9227575178821993
may,11,0.001698527025936604,0.11093003167143388,0.0013108138048397706,0.8860606274977897
university,12,0.0001383723405168781,0.01821039319253412,0.001561170212074321,0.9800900642548748
duty,13,3.17611381891064e-05,0.05421255455214871,0.0007843098251777434,0.9449713744844845
civil,14,9.175097507173967e-05,0.03218039130573875,0.00039923171518851225,0.967328626004001
disobedience,15,1.3965933363983884e-05,0.0869712288027329,0.002094584444718334,0.9109202208191849
holding,16,0.00034546574944817587,0.05119811115424222,0.00016758052964220557,0.9482888425666673
professorship,17,2.077776996968146e-05,0.04952483623387935,0.018975787068902503,0.9314785989272484
direct,18,0.00021666034838421246,0.15856405988646827,0.006557340075219171,0.8346619396899284
heartily,19,1.834178556611911e-06,0.5253882574497398,0.00027800896928108904,0.47433189940242254
accept,20,6.37353140433001e-05,0.6610195506554736,0.00031225883567057694,0.3386044551948126
government,21,0.00023379354066047704,0.14477534791686078,0.00043190015823909634,0.8545589583842396
leyden,22,0.0002681628505526614,0.08137966509831296,0.006303405503840789,0.9120487665472936
doe,23,0.0005069295753125363,0.11154653334091386,0.0026486254501531265,0.8852979116336205
come,24,0.0001960808231468943,0.5524576842984389,0.0004217944857912549,0.446924440392623
is,25,0.9862856352497866,0.0034231841154228975,2.7419354152584527e-05,0.010263761280637943
best,26,0.002893683992419279,0.2720986903254689,0.0010156917209084007,0.7239919339612034
governs,27,0.42123483482375706,0.12986539973773964,0.006756462228474118,0.4421433032100292
like,28,0.0014791035385517503,0.5435220789141212,0.0006432949564338221,0.4543555225908932
see,29,0.005173478865986201,0.5322608823665944,0.0019085686162398502,0.4606570701511795
acted,30,0.00013536012997657917,0.19434109598262828,0.00048694084465177343,0.8050366030427434
more,31,0.00022076154779026517,0.23305245843318434,0.0006087874989002155,0.766117992520125
rapidly,32,2.3767936549075452e-05,0.10032299467871873,0.0026186356610353578,0.8970346017236969
carried,33,5.0416762466023336e-05,0.08385301107264212,0.0005051368487878218,0.915591435316104
metamorphosis,34,0.00020632273612023751,0.04832352456789607,0.012737419862753457,0.9387327328332302
gregor,35,2.3333089935556325e-05,0.06261215366014275,0.0024984044766372436,0.9348661087732845
samsa,36,0.0006999525843189766,0.05483076796024497,0.004583671160867697,0.9398856082945684
idea,37,4.402912392801467e-05,0.2398528625531221,0.016194094856135415,0.7439090134668144
ponderable,38,0.00607460728564084,0.24559197731934942,0.06967978376617052,0.6786536316288392
is,39,0.9776156053083287,0.0032331172330506137,4.043463252708569e-05,0.01911084282609361
practical,40,0.00037447317232588826,0.13950412710285762,0.03743541010887271,0.8226859896159437
chiefly,41,0.002605467557883267,0.06452720875998386,0.0010980513631882365,0.9317692723189446
natural,42,0.0013334573637774664,0.040030951770089175,0.011091336043100208,0.9475442548230332
derived,43,0.0035807856935221446,0.06459754474472651,0.01641809920301086,0.9154035703587404
abstraction,44,0.0002907725262977807,0.031899828618694254,0.0610037422638299,0.9068056565911781
everyday,45,8.147972165814025e-05,0.08287336417156563,0.0018695300060353494,0.9151756261007409
history,46,0.00012472972585923417,0.02948234778171116,0.000906916779779351,0.9694860057126503
having,47,0.0005797652197346247,0.12687296625546046,0.0001826189839579268,0.8723646495408469
course,48,0.00022515532228611747,0.043819757000812566,0.001349933630670292,0.954605154046231
finally,49,2.4754844373881802e-05,0.13985394540838048,0.00016108500014213367,0.8599602147471035
amount,50,0.0005813362733761684,0.11271449781887968,0.003839128167958653,0.8828650377397854
also,51,0.0009920383055548898,0.12780803152852355,0.00046947951414840297,0.8707304506517731
past,52,0.00018434545452507167,0.08054666208421109,0.00014219922928864924,0.9191267932319752
year,53,6.460407544711098e-05,0.047315407576926205,0.000193174165705767,0.952426814181921
laid,54,3.3582501283966246e-05,0.03304191850219694,0.0002757531452217213,0.9666487458512975
foundational,55,0.00018676108593600738,0.06791564107906135,0.05118270209334255,0.8807148957416601
element,56,0.0011809329268098708,0.06149956301481749,0.022027997948917587,0.9152915061094551
art,57,0.00011212798584612986,0.02623649431577963,0.0008251967020195965,0.9728261809963547
woke,58,3.4507935299046904e-05,0.16063294785765472,0.00018374471782951,0.8391487994892166
troubled,59,1.1586004368272397e-05,0.1647033131437386,0.0002442902077009601,0.8350408106441922
found,60,0.0015065372482101502,0.28766169242244066,0.0009484170627606826,0.7098833532665886
physicist,61,0.00028261396547630906,0.05477864175377326,0.5341853561220156,0.41075338815873486
set,62,3.604898852144978e-05,0.43531804920053274,0.004093412338082319,0.5605524894728634
idea,63,2.036071800750529e-05,0.7837885148990099,0.017777499083089808,0.19841362529989284
