__context__	femme	homme
1	1	0
2	0	1
3	1	0
4	0	1
5	1	0
6	0	1
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	0	1
15	1	0
16	0	1
17	1	0
18	0	1
19	1	0
20	0	1
21	1	0
22	0	1
23	1	0
24	0	1
25	1	0
26	0	1
27	1	0
28	0	1
29	1	0
30	0	1
31	1	0
32	0	1
33	1	0
34	0	1
35	1	0
36	0	1
37	1	0
38	0	1
39	1	0
40	0	1
41	1	0
42	0	1
43	1	0
44	0	1
45	1	0
46	0	1
47	0	1
48	0	1
49	0	1
50	0	1
51	0	1
52	0	1
53	0	1
54	0	1
55	0	1
56	0	1
57	0	1
58	0	1
59	0	1
60	0	1
61	0	1
62	0	1
63	0	1
64	0	1
65	0	1
66	0	1
67	0	1
68	0	1
69	0	1
70	0	1
71	0	1
72	0	1
73	0	1
74	0	1
75	0	1
76	0	1
77	0	1
78	0	1
79	0	1
80	0	1
81	0	1
82	0	1
83	1	0
84	0	1
85	1	0
86	0	1
87	0	1
88	0	1
89	0	1
90	0	1
91	0	1
92	1	0
93	0	1
94	0	1
95	0	1
96	0	1
97	0	1
98	1	0
99	0	1
100	1	0
101	0	1
102	1	0
103	0	1
104	1	0
105	0	1
106	1	0
107	0	1
108	1	0
109	0	1
110	1	0
111	0	1
112	1	0
113	0	1
114	1	0
115	0	1
116	1	0
117	0	1
118	1	0
119	0	1
120	1	0
121	0	1
122	1	0
123	0	1
124	1	0
125	0	1
126	1	0
127	0	1
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	0	1
134	1	0
135	0	1
136	1	0
137	0	1
138	1	0
139	0	1
140	1	0
141	0	1
142	1	0
143	0	1
144	0	1
145	0	1
146	0	1
147	0	1
148	0	1
149	0	1
150	0	1
151	1	0
152	0	1
153	0	1
154	1	0
155	0	1
156	0	1
157	1	0
158	0	1
159	0	1
160	0	1
161	0	1
162	0	1
163	1	0
164	0	1
165	1	0
166	0	1
167	1	0
168	0	1
169	0	1
170	1	0
171	0	1
172	1	0
173	0	1
174	1	0
175	0	1
176	1	0
177	0	1
178	1	0
179	0	1
180	1	0
181	0	1
182	0	1
183	0	1
184	0	1
185	0	1
186	1	0
187	1	0
188	1	0
189	0	1
190	1	0
191	0	1
192	1	0
193	1	0
194	0	1
195	0	1
196	0	1
197	0	1
198	0	1
199	1	0
200	0	1
201	0	1
202	0	1
203	0	1
204	0	1
205	0	1
206	0	1
207	0	1
