token	tag
Chapter	NNP
I.	NNP
Dorothy	NNP
lived	VBD
in	IN
the	DT
midst	NN
of	IN
the	DT
great	JJ
Kansas	NNP
prairies,	NN
with	IN
Uncle	NNP
Henry,	NNP
who	WP
was	VBD
a	DT
farmer,	NN
and	CC
Aunt	NNP
Em,	NNP
who	WP
was	VBD
the	DT
farmer's	NNS
wife.	NN
Their	PRP$
house	NN
was	VBD
small,	JJ
for	IN
the	DT
lumber	NN
to	TO
build	VB
it	PRP
had	VBD
to	TO
be	VB
carried	VBN
by	IN
wagon	NN
many	JJ
miles.	NNS
There	EX
were	VBD
four	CD
walls,	NN
a	DT
floor	NN
and	CC
a	DT
roof,	NN
which	WDT
made	VBD
one	CD
room;	NN
and	CC
this	DT
room	NN
contained	VBD
a	DT
rusty	JJ
looking	VBG
cooking	NN
stove,	NN
a	DT
cupboard	NN
for	IN
the	DT
dishes,	NN
a	DT
table,	NN
three	CD
or	CC
four	CD
chairs,	NN
and	CC
the	DT
beds.	NN
Uncle	NNP
Henry	NNP
and	CC
Aunt	NNP
Em	NNP
had	VBD
a	DT
big	JJ
bed	NN
in	IN
one	CD
corner,	NN
and	CC
Dorothy	NNP
a	DT
little	JJ
bed	NN
in	IN
another	DT
corner.	NN
There	EX
was	VBD
no	DT
garret	NN
at	IN
all,	RB
and	CC
no	DT
cellar--except	NN
a	DT
small	JJ
hole,	NN
dug	VBN
in	IN
the	DT
ground,	NN
called	VBN
a	DT
cyclone	NN
cellar,	NN
where	WRB
the	DT
family	NN
could	MD
go	VB
in	IN
case	NN
one	CD
of	IN
those	DT
great	JJ
whirlwinds	NNS
arose,	VBD
mighty	JJ
enough	RB
to	TO
crush	VB
any	DT
building	NN
in	IN
its	PRP$
path.	NN
It	PRP
was	VBD
reached	VBN
by	IN
a	DT
trap-door	NN
in	IN
the	DT
middle	NN
of	IN
the	DT
floor,	NN
from	IN
which	WDT
a	DT
ladder	NN
led	VBD
down	RB
into	IN
the	DT
small,	JJ
dark	JJ
hole.	NN
When	WRB
Dorothy	NNP
stood	VBD
in	IN
the	DT
doorway	NN
and	CC
looked	VBD
around,	RB
she	PRP
could	MD
see	VB
nothing	NN
but	IN
the	DT
great	JJ
gray	JJ
prairie	NN
on	IN
every	DT
side.	NN
Not	RB
a	DT
tree	NN
nor	CC
a	DT
house	NN
broke	VBD
the	DT
broad	JJ
sweep	NN
of	IN
flat	JJ
country	NN
that	WDT
reached	VBD
the	DT
edge	NN
of	IN
the	DT
sky	NN
in	IN
all	DT
directions.	NN
The	DT
sun	NN
had	VBD
baked	VBN
the	DT
plowed	VBN
land	NN
into	IN
a	DT
gray	JJ
mass,	NN
with	IN
little	JJ
cracks	NNS
running	VBG
through	IN
it.	PRP
Even	RB
the	DT
grass	NN
was	VBD
not	RB
green,	JJ
for	IN
the	DT
sun	NN
had	VBD
burned	VBN
the	DT
tops	NNS
of	IN
the	DT
long	JJ
blades	NNS
until	IN
they	PRP
were	VBD
the	DT
same	JJ
gray	JJ
color	NN
to	TO
be	VB
seen	VBN
everywhere.	RB
Once	IN
the	DT
house	NN
had	VBD
been	VBN
painted,	VBN
but	CC
the	DT
sun	NN
blistered	VBD
the	DT
paint	NN
and	CC
the	DT
rains	NNS
washed	VBD
it	PRP
away,	RB
and	CC
now	RB
the	DT
house	NN
was	VBD
as	RB
dull	JJ
and	CC
gray	JJ
as	IN
everything	NN
else.	RB
When	WRB
Aunt	NNP
Em	NNP
came	VBD
there	RB
to	TO
live	VB
she	PRP
was	VBD
a	DT
young,	JJ
pretty	JJ
wife.	NN
The	DT
sun	NN
and	CC
wind	NN
had	VBD
changed	VBN
her,	RB
too.	.
They	PRP
had	VBD
taken	VBN
the	DT
sparkle	NN
from	IN
her	PRP$
eyes	NNS
and	CC
left	VBD
them	PRP
a	DT
sober	JJ
gray;	NN
they	PRP
had	VBD
taken	VBN
the	DT
red	NN
from	IN
her	PRP$
cheeks	NNS
and	CC
lips,	NN
and	CC
they	PRP
were	VBD
gray	JJ
also.	RB
She	PRP
was	VBD
thin	JJ
and	CC
gaunt,	JJ
and	CC
never	RB
smiled,	VBD
now.	RB
When	WRB
Dorothy,	NNP
who	WP
was	VBD
an	DT
orphan,	NN
first	RB
came	VBD
to	IN
her,	NN
Aunt	NNP
Em	NNP
had	VBD
been	VBN
so	RB
startled	VBN
by	IN
the	DT
child's	NNS
laughter	NN
that	IN
she	PRP
would	MD
scream	VB
and	CC
press	VB
her	PRP$
hand	NN
upon	IN
her	PRP$
heart	NN
whenever	WRB
Dorothy's	NNP
merry	JJ
voice	NN
reached	VBD
her	PRP$
ears;	JJ
and	CC
she	PRP
still	RB
looked	VBD
at	IN
the	DT
little	JJ
girl	NN
with	IN
wonder	NN
that	IN
she	PRP
could	MD
find	VB
anything	NN
to	TO
laugh	VB
at.	.
Uncle	NNP
Henry	NNP
never	RB
laughed.	VBD
He	PRP
worked	VBD
hard	RB
from	IN
morning	NN
till	IN
night	NN
and	CC
did	VBD
not	RB
know	VB
what	WP
joy	NN
was.	VBD
He	PRP
was	VBD
gray	JJ
also,	RB
from	IN
his	PRP$
long	JJ
beard	NN
to	IN
his	PRP$
rough	JJ
boots,	NN
and	CC
he	PRP
looked	VBD
stern	JJ
and	CC
solemn,	JJ
and	CC
rarely	RB
spoke.	VBD
It	PRP
was	VBD
Toto	NNP
that	WDT
made	VBD
